Product,Price,Sale Price
4896,19.99,17.99
4945,10.49,9.49
4494,18.99,
5681,32.99,29.99
4522,15.99,
8823,7.99,6.99
4806,16.99,14.99
8819,7.99,6.99
4783,13.99,11.99
4829,13.99,11.99
8118,6.99,5.99
4916,13.99,11.99
4309,10.99,7.99
8664,24.99,21.99
5836,29.99,
4498,42.99,38.99
4491,33.99,
4513,49.99,45.99
8267,24.99,
8252,20.49,
4762,9.99,6.99
7327,26.99,
5126,54.99,
4779,29.99,
8459,15.99,12.99
4737,12.99,10.99
5107,16.99,14.99
6862,29.99,27.99
5196,79.99,
5076,39.99,35.99
4605,129.99,
4511,339.99,
4527,39.99,34.99
4677,49.99,44.99
4629,36.99,33.99
4678,27.99,22.99
4679,13.49,11.99
4686,58.99,49.99
4682,37.99,34.99
4625,149.99,139.99
4320,52.99,
4687,24.99,22.99
6525,39.99,
4164,599.99,
4664,38.99,35.99
4689,52.99,46.99
9388,25.99,23.99
1620,52.99,46.99
307,8.99,
820,40.99,
4673,69.99,
4683,3.99,
4685,32.99,29.99
4638,16.49,
4621,16.49,
4652,199.99,159.99
5468,64.99,
4628,119.99,114.99
4989,26.99,23.99
4624,28.99,25.99
4626,24.49,
8483,32.99,26.99
8489,58.99,49.99
4254,29.99,24.99
782,56.99,46.99
500,3049.99,
3601,39.99,36.99
4722,40.99,34.99
4732,94.99,89.99
4897,4.49,
4528,159.99,144.99
8808,19.99,17.99
7353,19.99,16.99
5560,18.99,
5230,15.99,
5214,15.99,
5246,15.99,
5194,15.99,
7383,19.99,
7363,19.99,
3342,27.99,22.99
5058,17.99,
8370,10.99,7.99
7293,10.99,7.99
8712,19.99,16.99
5810,15.99,
4411,11.99,9.99
8793,21.99,19.99
4062,8.99,7.99
8970,11.99,9.99
5694,11.99,9.99
8100,39.99,29.99
5805,15.99,
8642,15.99,12.99
5253,17.99,15.99
5330,17.99,15.99
5875,19.99,17.99
1905,16.99,
8694,12.99,
8298,12.99,
7070,19.9,12.99
8152,12.99,
5667,12.99,
3797,19.99,16.99
5662,12.99,
5215,14.99,12.99
3140,14.99,12.99
5255,14.99,12.99
7917,9.99,8.99
7849,9.99,8.99
7931,9.99,8.99
7867,9.99,8.99
5798,19.9,19.99
5758,19.99,
5357,34.99,
5587,19.99,
5714,9.99,
5765,15.99,
5655,15.99,13.99
5767,15.99,
7320,19.99,17.99
8673,12.99,
169,16.99,
8351,10.99,
5277,7.99,
5707,32.99,29.99
