2081,2518,"Woodford Reserve Double Oaked Bourbon","750mL",55.99,10/14/16,50.99,10/30/16
2082,1051,"Woodford Reserve Mc 1838 White Corn","750mL",99.99,10/14/16,89.99,10/30/16
2083,2871,"Woodford Reserve Rye","750mL",41.99,10/14/16,37.99,10/30/16
2084,7205,"Woodstock Hot Licks Bourbon + Cinnamon","750mL",15.99,10/14/16,11.49,NULL,NULL
2085,7193,"Woodstock Killer Bee Bourbon & Honey","750mL",15.99,10/14/16,11.49,NULL,NULL
2086,5130,"X Rated Fusion Liqueur","750mL",19.99,10/14/16,NULL,NULL
2087,2997,"Yamazaki 12 Year Old Single Malt Japanese","750mL",89.99,10/14/16,NULL,NULL
2088,2617,"Yellow Spot Irish Whisky","750mL",99.99,10/14/16,NULL,NULL
2089,1892,"Yukon Jack","50mL",0.99,10/14/16,NULL,NULL
2090,8893,"Yukon Jack","750mL",16.99,10/14/16,NULL,NULL
2091,8898,"Yukon Jack","1.75L",25.99,10/14/16,NULL,NULL
2092,4250,"Zaya 12 Year Grand Reserva Rum","750mL",44.99,10/14/16,34.99,10/30/16
2093,3893,"Zhenka 80 Proof","1.75L",9.99,10/14/16,NULL,NULL
2094,3041,"Zhenka Pink Lemonade Vodka","1.75L",10.99,10/14/16,8.99,10/30/16
2095,3038,"Zhenka Raspberry Vodka","1.75L",10.99,10/14/16,8.99,10/30/16
2096,4488,"Zhenka Tropical Dark Rum","1.75L",13.49,10/14/16,NULL,NULL
2097,3896,"Zhenka Vodka","375mL",3.29,10/14/16,NULL,NULL
2098,3894,"Zhenka Vodka 100 Proof","1.75L",15.49,10/14/16,11.99,10/30/16
2099,3637,"Zhenka Vodka Plastic","750mL",5.29,10/14/16,NULL,NULL
