Count,ID,Name,Volume,Price,Scrape Date,Sale Price,Sale Ends
0,2156,(ri) 1 Kentucky Straight Rye Whiskey,750mL,39.99,16-10-28,36.99,16-10-30
1,1980,1792 Full Proof Bourbon,750mL,44.99,16-10-28,NULL,NULL
2,2011,1792 Single Barrel Bourbon,750mL,39.99,16-10-28,NULL,NULL
3,1282,1792 Small Batch Bourbon,750mL,29.99,16-10-28,27.99,16-10-30
4,2950,1792 Sweet Wheat Bourbon,750mL,34.99,16-10-28,NULL,NULL
5,175,1800 Anejo Tequila,750mL,41.99,16-10-28,NULL,NULL
6,8424,1800 Coconut Tequila,750mL,26.99,16-10-28,NULL,NULL
7,8484,1800 Coconut Tequila,50mL,2.79,16-10-28,NULL,NULL
8,8469,1800 Reposado Gold Tequila,750mL,26.99,16-10-28,NULL,NULL
9,8470,1800 Reposado Gold Tequila,50mL,2.79,16-10-28,NULL,NULL
10,8474,1800 Reposado Gold Tequila,1.75L,41.99,16-10-28,NULL,NULL
11,8476,1800 Reposado Gold Tequila,375mL,14.49,16-10-28,NULL,NULL
12,8434,1800 Select Silver Tequila,750mL,29.99,16-10-28,NULL,NULL
13,8442,1800 Silver Tequila,375mL,14.49,16-10-28,NULL,NULL
14,8453,1800 Silver Tequila,50mL,2.79,16-10-28,NULL,NULL
15,8472,1800 Silver Tequila,750mL,26.99,16-10-28,NULL,NULL
16,8473,1800 Silver Tequila,1.75L,41.99,16-10-28,NULL,NULL
17,1038,1800 Silver Tequila Vap W/shot Glasses,750mL,26.99,16-10-28,NULL,NULL
18,5758,1800 Ultimate Margarita Rtd,1.75L,19.99,16-10-28,NULL,NULL
19,5798,1800 Ultimate Raspberry Margarita Rtd,1.75L,19.99,16-10-28,16.99,16-10-30
20,7353,1800 Ultimate Rtd Peach Margarita,1.75L,19.99,16-10-28,16.99,16-10-30
21,2386,2 Gingers Irish Whiskey,750mL,22.99,16-10-28,NULL,NULL
22,3450,260 Vodka,750mL,27.99,16-10-28,NULL,NULL
23,3880,360 Double Chocolate Vodka,750mL,15.99,16-10-28,12.99,16-10-30
24,5027,99 Apples Schnapps Liqueur,750mL,15.99,16-10-28,11.99,16-10-30
25,5897,99 Bananas,750mL,15.99,16-10-28,11.99,16-10-30
26,7489,99 Blackberries,50mL,0.99,16-10-28,NULL,NULL
27,7393,99 Blackberries,750mL,15.99,16-10-28,11.99,16-10-30
28,2742,Aberfeldy 12 Year Old Single Malt Scotch,750mL,53.99,16-10-28,48.99,16-10-30
29,1106,Aberfeldy Single Cask,750mL,249.99,16-10-28,NULL,NULL
30,1728,Aberlour 16 Year Old Single Malt Scotch,750mL,64.99,16-10-28,59.99,16-10-30
31,290,Aberlour A'bunadh Single Malt Scotch,750mL,79.99,16-10-28,74.99,16-10-30
32,1758,Aberlour Glenlivet 12 Year Scotch,750mL,44.99,16-10-28,41.99,16-10-30
33,8658,"Absente Absinthe Refined""""",750mL,39.99,16-10-28,33.99,16-10-30
34,1067,Absente W/ Glass & Spoon Pack,100mL,11.99,16-10-28,NULL,NULL
35,5977,Absinthe Ordinaire,750mL,29.99,16-10-28,27.99,NULL
36,3627,Absolut 80 Proof,375mL,13.99,16-10-28,NULL,NULL
37,8822,Absolut 80 Proof,50mL,1.99,16-10-28,NULL,NULL
38,482,Absolut 80 Proof,Liter,24.99,16-10-28,21.99,16-10-30
39,3625,Absolut 80 Proof,750mL,19.99,16-10-28,17.99,16-10-30
40,8068,Absolut 80 Proof,1.75L,31.99,16-10-28,24.99,16-10-30
41,3731,Absolut Apeach,750mL,19.99,16-10-28,17.99,16-10-30
42,3235,Absolut Berri Acai,750mL,19.99,16-10-28,17.99,16-10-30
43,3727,Absolut Citron,50mL,1.99,16-10-28,NULL,NULL
44,3724,Absolut Citron,750mL,19.99,16-10-28,17.99,16-10-30
45,3728,Absolut Citron,1.75L,31.99,16-10-28,24.99,16-10-30
46,3061,Absolut Grapevine Vodka,750mL,19.99,16-10-28,14.49 *,NULL
47,8027,Absolut Mandrin,50mL,1.99,16-10-28,NULL,NULL
48,8050,Absolut Mandrin,750mL,19.99,16-10-28,16.99,16-10-30
49,8102,Absolut Mandrin,1.75L,29.99,16-10-28,24.99,16-10-30
50,3085,Absolut Mini Bar Sampler 5/50mls,250mL,7.99,16-10-28,NULL,NULL
51,8063,Absolut Pears,50mL,1.99,16-10-28,NULL,NULL
52,3760,Absolut Pears,750mL,19.99,16-10-28,17.99,16-10-30
53,3890,Absolut Peppar,750mL,19.99,16-10-28,17.99,16-10-30
