ID,Name,Volume,Price,Sale Price,Sale Ends,Proof,Type,Category,url,image,relative_1,relative_2,relative_3
2156,(ri) 1 Kentucky Straight Rye Whiskey,750mL,$39.99 ,$36.99 ,10/30/2016,92,Whiskey American,Rye Whiskey,/products/detail/2156/ri_1_kentucky_straight_rye_whiskey,FALSE,2871,2678,2366
1980,1792 Full Proof Bourbon,750mL,$44.99 ,-,-,125,Whiskey American,Bourbon Whiskey,/products/detail/1980/1792_full_proof_bourbon,FALSE,2838,2843,1130
2011,1792 Single Barrel Bourbon,750mL,$39.99 ,-,-,98.6,Whiskey American,Bourbon Whiskey,/products/detail/2011/1792_single_barrel_bourbon,FALSE,2042,1347,2245
1282,1792 Small Batch Bourbon,750mL,$29.99 ,$27.99 ,10/30/2016,93.7,Whiskey American,Bourbon Whiskey,/products/detail/1282/1792_small_batch_bourbon,FALSE,2043,8296,1920
2950,1792 Sweet Wheat Bourbon,750mL,$34.99 ,-,-,91.2,Whiskey American,Bourbon Whiskey,/products/detail/2950/1792_sweet_wheat_bourbon,FALSE,515,2167,2879
175,1800 Anejo Tequila,750mL,$41.99 ,-,-,80,Tequila,Tequila Imported,/products/detail/175/1800_anejo_tequila,FALSE,3984,3528,3918
8424,1800 Coconut Tequila,750mL,$26.99 ,-,-,70,Tequila,Tequila Specialties,/products/detail/8424/1800_coconut_tequila,FALSE,3883,3998,271
8484,1800 Coconut Tequila,50mL,$2.79 ,-,-,70,Tequila,Tequila Imported,/products/detail/8484/1800_coconut_tequila,FALSE,8470,8453,8623
8469,1800 Reposado Gold Tequila,750mL,$26.99 ,-,-,80,Tequila,Tequila Imported,/products/detail/8469/1800_reposado_gold_tequila,FALSE,8472,3924,3921
8470,1800 Reposado Gold Tequila,50mL,$2.79 ,-,-,80,Tequila,Tequila Imported,/products/detail/8470/1800_reposado_gold_tequila,FALSE,8453,8484,8623
8474,1800 Reposado Gold Tequila,1.75L,$41.99 ,-,-,80,Tequila,Tequila Imported,/products/detail/8474/1800_reposado_gold_tequila,FALSE,8473,3347,3457
8476,1800 Reposado Gold Tequila,375mL,$14.49 ,-,-,80,Tequila,Tequila Imported,/products/detail/8476/1800_reposado_gold_tequila,FALSE,8442,1982,3919
8442,1800 Silver Tequila,375mL,$14.49 ,-,-,80,Tequila,Tequila Imported,/products/detail/8442/1800_silver_tequila,FALSE,8476,1982,3919
8453,1800 Silver Tequila,50mL,$2.79 ,-,-,80,Tequila,Tequila Imported,/products/detail/8453/1800_silver_tequila,FALSE,8470,8484,8623
